trecho_id,data_obs,lat_centroide,lon_centroide,mes,chuva_72h,chuva_7d,chuva_30d
RO-ARQ-0012,2025-03-15,-9.9543,-63.0787,3,45.5,68.9,297.6
RO-ARQ-0012,2025-08-15,-9.9543,-63.0787,8,0.0,0.0,5.5
RO-ARQ-0013,2023-02-15,-9.965,-63.0831,2,18.8,35.9,240.2
RO-ARQ-0013,2023-03-08,-9.965,-63.0831,3,16.9,58.5,277.2
RO-ARQ-0013,2023-07-20,-9.965,-63.0831,7,0.0,21.4,21.6
RO-ARQ-0013,2023-11-15,-9.965,-63.0831,11,7.4,19.1,65.4
RO-ARQ-0013,2024-01-20,-9.965,-63.0831,1,25.8,48.8,259.2
RO-ARQ-0013,2024-02-25,-9.965,-63.0831,2,51.1,98.6,283.6
RO-ARQ-0013,2024-07-15,-9.965,-63.0831,7,0.0,0.1,1.1
RO-ARQ-0013,2024-10-20,-9.965,-63.0831,10,14.4,42.9,85.1
RO-ARQ-0013,2025-02-10,-9.965,-63.0831,2,40.2,98.6,345.7
RO-ARQ-0013,2025-03-15,-9.965,-63.0831,3,45.5,68.9,297.6
RO-ARQ-0013,2025-08-15,-9.965,-63.0831,8,0.0,0.0,5.5
RO-ARQ-0014,2023-02-15,-9.9773,-63.0863,2,18.8,35.9,240.2
RO-ARQ-0014,2023-03-08,-9.9773,-63.0863,3,16.9,58.5,277.2
RO-ARQ-0014,2023-07-20,-9.9773,-63.0863,7,0.0,21.4,21.6
RO-ARQ-0014,2023-11-15,-9.9773,-63.0863,11,7.4,19.1,65.4
RO-ARQ-0014,2024-01-20,-9.9773,-63.0863,1,25.8,48.8,259.2
RO-ARQ-0014,2024-02-25,-9.9773,-63.0863,2,51.1,98.6,283.6
RO-ARQ-0014,2024-07-15,-9.9773,-63.0863,7,0.0,0.1,1.1
RO-ARQ-0014,2024-10-20,-9.9773,-63.0863,10,14.4,42.9,85.1
RO-ARQ-0014,2025-02-10,-9.9773,-63.0863,2,40.2,98.6,345.7
RO-ARQ-0014,2025-03-15,-9.9773,-63.0863,3,45.5,68.9,297.6
RO-ARQ-0014,2025-08-15,-9.9773,-63.0863,8,0.0,0.0,5.5
RO-ARQ-0015,2023-02-15,-9.9897,-63.0896,2,16.5,37.9,235.0
RO-ARQ-0015,2023-03-08,-9.9897,-63.0896,3,23.8,69.8,279.3
RO-ARQ-0015,2023-07-20,-9.9897,-63.0896,7,0.0,25.9,26.1
RO-ARQ-0015,2023-11-15,-9.9897,-63.0896,11,5.7,14.9,59.3
RO-ARQ-0015,2024-01-20,-9.9897,-63.0896,1,20.7,51.6,248.1
RO-ARQ-0015,2024-02-25,-9.9897,-63.0896,2,40.1,101.0,246.3
RO-ARQ-0015,2024-07-15,-9.9897,-63.0896,7,0.0,0.0,1.0
RO-ARQ-0015,2024-10-20,-9.9897,-63.0896,10,7.0,29.5,82.1
RO-ARQ-0015,2025-02-10,-9.9897,-63.0896,2,40.5,99.7,338.2
RO-ARQ-0015,2025-03-15,-9.9897,-63.0896,3,39.0,77.0,279.8
RO-ARQ-0015,2025-08-15,-9.9897,-63.0896,8,0.0,0.0,6.2
RO-ARQ-0016,2023-02-15,-9.8881,-62.9671,2,18.1,36.5,226.8
RO-ARQ-0016,2023-03-08,-9.8881,-62.9671,3,17.4,57.6,239.4
RO-ARQ-0016,2023-07-20,-9.8881,-62.9671,7,0.0,1.2,1.5
RO-ARQ-0016,2023-11-15,-9.8881,-62.9671,11,7.5,22.0,63.2
RO-ARQ-0016,2024-01-20,-9.8881,-62.9671,1,15.0,43.9,224.9
RO-ARQ-0016,2024-02-25,-9.8881,-62.9671,2,42.1,90.0,315.1
RO-ARQ-0016,2024-07-15,-9.8881,-62.9671,7,0.0,0.6,2.2
RO-ARQ-0016,2024-10-20,-9.8881,-62.9671,10,5.5,27.3,73.4
RO-ARQ-0016,2025-02-10,-9.8881,-62.9671,2,40.0,81.0,349.0
RO-ARQ-0016,2025-03-15,-9.8881,-62.9671,3,42.1,56.3,306.7
RO-ARQ-0016,2025-08-15,-9.8881,-62.9671,8,0.0,0.0,2.7
RO-ARQ-0017,2023-02-15,-9.8966,-62.9585,2,18.1,36.5,226.8
RO-ARQ-0017,2023-03-08,-9.8966,-62.9585,3,17.4,57.6,239.4
RO-ARQ-0017,2023-07-20,-9.8966,-62.9585,7,0.0,1.2,1.5
RO-ARQ-0017,2023-11-15,-9.8966,-62.9585,11,7.5,22.0,63.2
RO-ARQ-0017,2024-01-20,-9.8966,-62.9585,1,15.0,43.9,224.9
RO-ARQ-0017,2024-02-25,-9.8966,-62.9585,2,42.1,90.0,315.1
RO-ARQ-0017,2024-07-15,-9.8966,-62.9585,7,0.0,0.6,2.2
RO-ARQ-0017,2024-10-20,-9.8966,-62.9585,10,5.5,27.3,73.4
RO-ARQ-0017,2025-02-10,-9.8966,-62.9585,2,40.0,81.0,349.0
RO-ARQ-0017,2025-03-15,-9.8966,-62.9585,3,42.1,56.3,306.7
RO-ARQ-0017,2025-08-15,-9.8966,-62.9585,8,0.0,0.0,2.7
