trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0047,4.2,18.05,0.362,0.152,2.4
RO-ARQ-0048,3.55,14.81,0.297,0.059,2.03
RO-ARQ-0049,10.89,34.92,0.056,0.25,6.21
RO-ARQ-0050,1.82,5.39,0.66,0.0,1.04
RO-ARQ-0051,13.42,25.54,0.0,0.941,7.64
RO-ARQ-0052,,,,,
RO-ARQ-0053,,,,,
RO-ARQ-0054,,,,,
RO-ARQ-0055,6.9,16.35,0.02,0.31,3.95
RO-ARQ-0056,10.74,29.39,0.0,0.525,6.13
RO-ARQ-0057,6.65,13.08,0.035,0.316,3.81
RO-ARQ-0058,,,,,
RO-ARQ-0059,,,,,
RO-ARQ-0060,2.15,8.64,0.593,0.022,1.23
RO-ARQ-0061,12.32,42.58,0.071,0.374,7.03
RO-ARQ-0062,14.31,39.09,0.02,0.775,8.14
RO-ARQ-0063,22.09,39.3,0.0,1.0,12.46
RO-ARQ-0064,12.54,26.01,0.019,0.755,7.15
RO-ARQ-0065,17.71,39.75,0.037,0.757,10.04
RO-ARQ-0066,7.71,19.72,0.027,0.403,4.41
RO-ARQ-0067,8.13,22.54,0.029,0.464,4.65
RO-ARQ-0068,13.42,26.89,0.065,0.699,7.64
RO-ARQ-0069,12.07,31.99,0.079,0.506,6.88
RO-ARQ-0070,6.5,15.04,0.089,0.304,3.72
RO-ARQ-0071,4.07,9.52,0.208,0.125,2.33
RO-ARQ-0072,5.47,8.24,0.045,0.045,3.13
RO-ARQ-0073,9.94,21.21,0.0,0.458,5.68
RO-ARQ-0074,10.37,28.43,0.0,0.648,5.92
RO-ARQ-0075,2.83,4.31,0.24,0.0,1.62
RO-ARQ-0076,11.72,31.95,0.029,0.596,6.68
RO-ARQ-0077,14.18,23.01,0.067,0.8,8.07
RO-ARQ-0078,4.88,12.38,0.147,0.147,2.8
RO-ARQ-0079,7.93,17.98,0.121,0.455,4.54
RO-ARQ-0080,5.18,11.03,0.073,0.055,2.96
RO-ARQ-0081,5.05,13.24,0.133,0.233,2.89
RO-ARQ-0082,8.44,25.4,0.043,0.333,4.83
RO-ARQ-0083,5.29,14.39,0.069,0.161,3.03
RO-ARQ-0084,8.41,16.57,0.0,0.615,4.81
RO-ARQ-0085,6.54,13.03,0.053,0.395,3.74
RO-ARQ-0086,7.88,21.39,0.167,0.417,4.51
RO-ARQ-0087,6.11,9.06,0.0,0.174,3.5
RO-ARQ-0088,2.5,4.59,0.4,0.0,1.43
RO-ARQ-0089,3.26,5.64,0.048,0.0,1.87
RO-ARQ-0090,3.59,9.86,0.235,0.029,2.06
RO-ARQ-0091,8.2,25.63,0.089,0.393,4.69
RO-ARQ-0092,9.32,21.44,0.012,0.523,5.32
RO-ARQ-0093,8.16,15.93,0.0,0.4,4.67
RO-ARQ-0094,13.66,30.31,0.055,0.617,7.78
RO-ARQ-0095,9.71,18.17,0.0,0.625,5.55
RO-ARQ-0096,8.95,14.14,0.0,0.714,5.11
RO-ARQ-0097,4.57,10.12,0.321,0.25,2.62
RO-ARQ-0098,3.83,6.69,0.047,0.0,2.19
RO-ARQ-0099,3.85,15.88,0.087,0.029,2.2
RO-ARQ-0100,19.15,23.96,0.0,0.933,10.84
RO-ARQ-0101,8.13,29.59,0.026,0.329,4.65
RO-ARQ-0102,5.76,16.42,0.08,0.173,3.29
RO-ARQ-0103,4.27,8.77,0.105,0.053,2.45
RO-ARQ-0104,7.99,22.88,0.054,0.459,4.57
RO-ARQ-0105,2.59,6.98,0.515,0.0,1.48
RO-ARQ-0106,9.76,32.32,0.121,0.404,5.58
RO-ARQ-0107,5.18,16.2,0.169,0.136,2.96
RO-ARQ-0108,6.22,20.96,0.11,0.231,3.56
RO-ARQ-0109,26.74,34.46,0.0,1.0,14.97
RO-ARQ-0110,6.46,15.09,0.0,0.21,3.69
RO-ARQ-0111,3.4,8.55,0.149,0.023,1.95
RO-ARQ-0112,3.15,14.03,0.524,0.083,1.81
RO-ARQ-0113,6.41,23.0,0.146,0.232,3.67
RO-ARQ-0114,13.11,21.13,0.0,0.899,7.47
RO-ARQ-0115,10.28,15.39,0.0,0.636,5.87
RO-ARQ-0116,5.53,20.1,0.133,0.2,3.17
RO-ARQ-0117,16.13,40.93,0.054,0.703,9.16
RO-ARQ-0118,25.91,32.55,0.0,1.0,14.53
RO-ARQ-0119,15.1,29.6,0.027,0.689,8.59
RO-ARQ-0120,10.09,28.41,0.27,0.541,5.76
RO-ARQ-0121,22.27,27.32,0.0,1.0,12.56
RO-ARQ-0122,27.52,41.96,0.0,0.939,15.39
RO-ARQ-0123,7.94,28.34,0.018,0.468,4.54
RO-ARQ-0124,10.88,28.37,0.028,0.651,6.21
RO-ARQ-0125,2.23,4.05,0.6,0.0,1.28
RO-ARQ-0126,4.78,9.25,0.296,0.259,2.74
RO-ARQ-0127,2.69,5.42,0.328,0.0,1.54
RO-ARQ-0128,15.44,34.64,0.0,0.741,8.78
RO-ARQ-0129,9.31,18.09,0.0,0.543,5.32
RO-ARQ-0130,13.85,29.21,0.0,0.963,7.89
RO-ARQ-0131,13.65,26.37,0.0,0.687,7.77
RO-ARQ-0132,4.11,27.27,0.311,0.089,2.35
RO-ARQ-0133,4.28,19.88,0.431,0.127,2.45
RO-ARQ-0134,2.39,5.91,0.495,0.0,1.37
RO-ARQ-0135,10.42,33.93,0.413,0.433,5.95
RO-ARQ-0136,2.99,10.16,0.373,0.039,1.71
RO-ARQ-0137,3.01,23.91,0.276,0.043,1.72
RO-ARQ-0138,14.52,30.94,0.092,0.731,8.26
RO-ARQ-0139,3.91,16.18,0.69,0.207,2.24
RO-ARQ-0140,2.39,12.52,0.538,0.031,1.37
RO-ARQ-0141,0.93,2.36,0.962,0.0,0.53
RO-ARQ-0142,5.68,17.17,0.145,0.171,3.25
RO-ARQ-0143,5.36,11.53,0.127,0.165,3.07
RO-ARQ-0144,5.18,37.52,0.129,0.115,2.97
RO-ARQ-0145,8.27,37.52,0.0,0.2,4.73
RO-ARQ-0146,4.69,13.78,0.182,0.136,2.68
RO-ARQ-0147,4.63,15.95,0.212,0.129,2.65
RO-ARQ-0148,3.44,7.87,0.345,0.0,1.97
RO-ARQ-0149,8.78,17.75,0.0,0.531,5.02
RO-ARQ-0150,5.45,15.51,0.051,0.077,3.12
RO-ARQ-0151,10.45,28.98,0.027,0.616,5.96
RO-ARQ-0152,8.31,15.51,0.056,0.556,4.75
RO-ARQ-0153,6.52,12.76,0.0,0.221,3.73
RO-ARQ-0154,13.5,38.41,0.044,0.676,7.69
RO-ARQ-0155,13.45,42.91,0.0,0.636,7.66
RO-ARQ-0156,6.9,8.85,0.0,0.167,3.95
RO-ARQ-0157,5.6,12.96,0.0,0.182,3.21
RO-ARQ-0158,5.33,16.88,0.071,0.23,3.05
RO-ARQ-0159,5.26,14.61,0.212,0.212,3.01
RO-ARQ-0160,6.46,18.23,0.093,0.278,3.69
RO-ARQ-0161,7.95,12.72,0.0,0.417,4.54
RO-ARQ-0162,8.28,15.01,0.0,0.542,4.73
